Organization,Case Mgmt.,Housing,ESL,Income/Jobs,Starting Biz,Ed/children,Ed/Adult,Social connection,Civic Engagement,Nutrition & Health,Navigating Day-to-Day Logistics,Partners/Collaborators,Affiliation ,Website link,Revenue,Expenses,Year,Costs,Annual Reports,Year
Vibrant Pittsburgh,No,,No,No,,,Creates Inclusive Workplaces,Vibrant E.V.E.N.T.s,,,,,Business Culture,https://vibrantpittsburgh.org,"$1,273,357","$1,371,870",2024,,,
Latino Community Center,Yes,,No,No,,Youth Tutoring and Mentorship,,,,Health Home Visiting ,Healthcare Nativation Assistance,https://www.latinocommunitycenter.org/welcome-center,Latino ,https://www.latinocommunitycenter.org,"$2,697,883","$2,829,827",2024,,,
,,,,,,,Advancing Latino Education Access,,,,Welcome Center with Access to urgent needs,,,,,,,,,
,,,,,,,Parenting Classes,,,,,,,,,,,,,
"Coesa: Brazilian Association in Pittsburgh
",No,,,No,,,,,,,,,Brazilians,,,,,,,
Duolingo,No,,,Yes,,,Language Accessibility,,,,Free Book Access,,Everyone,https://www.duolingo.com/approach,,,,,,
"Library Welcome Center at Carnegie Library of Pittsburgh
",No,,No,No,,Tutoring ,Resume and Career Guidance,Teen Spaces,,,,,Everyone,https://www.carnegielibrary.org/about/,"$47,334,364","$43,750,113",2023,,,
"Pennsylvania Council for International Education (PACIE)
",No,,No,No,,,Advancing Global Education,,Advocacy and Global Education,,,,Everyone,https://pacie.org,$438.3 M,,,,,
Asian Pacific American Labor Alliance- Pittsburgh,No,,No,No,,,,,Young Leaders Council,,,,Asian Pacific Americans,https://www.apalanet.org,"$530,851","$320,156",2023,,,
,,,,,,,,,Organizing and Leadership Development,,,,,,,,,,,
,,,,,,,,,Racial and Immigrant Justice,,,,,,,,,,,
,,,,,,,,,Economic and Worker Justice,,,,,,,,,,,
Filipino American Association of Pittsburgh,No,,No,No,,,Member Support,Dance Troupe,,,,,Fillipino,https://filampgh.org/what-we-do/,"$165,652","$140,706",2023,,,
,,,,,,,,Festivals,,,,,,,,,,,,
,,,,,,,,Cuisines,,,,,,,,,,,,
"JCC Center for loving kindness
",No,,No,No,,Children and Youth Camps,,,,Sports and Fitness clubs and classes,,,Jewish and Everyone,https://jccpgh.org/center-for-loving-kindness/,"$26,249,230","$22,624,523",2023,,,
,,,,,,,Inclusion Program Disability Support,,,Mindfulness and Wellness,,,,,,,,,,
,,,,,,,,,,School of Dance,,,,,,,,,,
,,,,,,,,,,Aquatics,,,,,,,,,,
Literacy Pittsburgh,No,,Yes,No,,,GED Programs,Immigrant Services and connections,,,,,"Immigrants, Newcommers Everyone",https://www.literacypittsburgh.org,"$10,485,271","$6,792,445",2024,,,
,,,,,,,English Classes,,,,,,,,,,,,,
,,,,,,,Career Development,,,,,,,,,,,,,
,,,,,,,Citizenship Classes,,,,,,,,,,,,,
,,,,,,School Based Tutoring,,,,,,,,,,,,,,
,,,,,,,Family Literacy,,,,,,,,,,,,,
Univ of Pitt Institute for Entrepreneural Excellence,No,,No,No,,,Business Education Events ,Networking Opportunities,,,,,UPitt and Entrepreneurs,https://entrepreneur.pitt.edu,,,,,,
,,,,,,,Business Leadership Certificate Program,Peer Forums,,,,,,,,,,,,
,,,,,,,Confidential Business Consulting,,,,,,,,,,,,,
Turkish Cultural Center of Pittsburgh/ City of Bridges Foundation,No,,No,No,,,Turkish Dialogue Courses,Cultural Events,,,,,Turkish,https://cityofbridgesfoundation.org,"$193,351","$187,892",2023,,,
,,,,,,,Career Fairs,Friendship Dinners,,,,,,,,,,,,
,,,,,,,Retreat Camps,,,,,,,,,,,,,
Catholic Charities,No,Housing and Shelter Assistance,No,No,,,Job Training Program,,,Pregnancy and Parenting Support,Basic Needs Assistance,,Catholic,https://www.ccpgh.org/about/about,$13.7M,$11.5M ,2023,,,
,,Refugee Assistance,,,,,,,,Free Health Care Center,,,,,,,,,,
,,,,,,,,,,Counseling,,,,,,,,,,
Goodwill of SWPA,No,Housing Programs,Yes,No,,,GED Classes,,,Mental Health Services,Technology Assistives,,Everyone and Immigrants,https://www.goodwillswpa.org,$82.3M,$75.9M,2024,,,
,,,,,,,Computer Based Testing,,,,,,,,,,,,,
,,,,,,Youth Disability Services,Disability Serivces Adult,,,,,,,,,,,,,
United Way of Southwestern Pennsylvania ,No,,No,No,,,Veteran Support,,,Food Security Assitance,"access to heat, water and electricity.",https://unitedwayswpa.org/partner-agencies/412-food-rescue/,Everyone,https://unitedwayswpa.org/,"$36,410,338","$33,616,325",2024,,,
,,,,,,Childcare Resources,,,,,Tax assistance,,,,,,,,,
,,,,,,"college, career training, and trade programs.",,,,,,,,,,,,,,
